nose-x,nose-y,left_eye-x,left_eye-y,right_eye-x,right_eye-y,left_ear-x,left_ear-y,right_ear-x,right_ear-y,left_shoulder-x,left_shoulder-y,right_shoulder-x,right_shoulder-y,head_angle,shoulder_angle,class
0.634388,0.54288626,0.6848826,0.5305099,0.6151084,0.4843332,0.70626,0.57982355,0.5162081,0.46260348,0.759384,0.7773037,0.27914828,0.737655,-0.37777777777777777,-0.05555555555555555,left
0.51681876,0.49031,0.5632551,0.45065337,0.47352707,0.44899067,0.61855876,0.49143922,0.4107914,0.48447132,0.7529555,0.75630677,0.26178265,0.754281,-0.011111111111111112,0.0,center
0.417402,0.493036,0.444631,0.43971115,0.36750755,0.49502027,0.5327362,0.45695436,0.33858913,0.57561415,0.74652064,0.75183487,0.2626479,0.7584372,0.4,0.011111111111111112,right
0.5426932,0.49002495,0.5897032,0.4531827,0.49666288,0.44951564,0.64354575,0.49337578,0.43048123,0.48368526,0.7620502,0.76431584,0.28110746,0.7505628,-0.03333333333333333,-0.022222222222222223,center
0.6132028,0.52365613,0.66911125,0.5205888,0.5950482,0.46806514,0.7001453,0.58497894,0.51346725,0.45578343,0.76020384,0.7793583,0.27907798,0.7348301,-0.3888888888888889,-0.05555555555555555,left
0.5051393,0.48947558,0.5494359,0.4499623,0.4622982,0.45280975,0.6099733,0.48587817,0.4037669,0.48990563,0.7488072,0.76215553,0.25890082,0.7554612,0.022222222222222223,-0.011111111111111112,center
0.5110647,0.44839457,0.5641276,0.4067555,0.45682433,0.40475458,0.6249277,0.45873764,0.38641465,0.45498064,0.7664939,0.75977653,0.23517706,0.7643859,-0.011111111111111112,0.011111111111111112,center
0.42200005,0.44575474,0.45242733,0.3906411,0.3683515,0.4404922,0.55319935,0.4109845,0.33530965,0.52485794,0.7814528,0.75337553,0.2558033,0.7491619,0.3333333333333333,-0.011111111111111112,right
0.5453394,0.44236302,0.5990735,0.40744436,0.4954563,0.3984307,0.6546303,0.4701064,0.42017788,0.44992417,0.79094535,0.7697325,0.25750864,0.74485993,-0.05555555555555555,-0.03333333333333333,center
0.598541,0.46029449,0.65840006,0.46374747,0.57350063,0.4022463,0.6898488,0.546598,0.474164,0.4235708,0.76693654,0.7726196,0.24691151,0.73978317,-0.4,-0.044444444444444446,left
0.5071718,0.4503481,0.56232464,0.407519,0.45551026,0.40727055,0.62744945,0.45765072,0.39062554,0.45514938,0.7782405,0.76455826,0.23702139,0.75850993,0.0,-0.011111111111111112,center
0.59008545,0.47810796,0.65126085,0.4752807,0.5646229,0.4192071,0.6881821,0.55702055,0.47552344,0.42868233,0.779085,0.775385,0.24793805,0.7383222,-0.36666666666666664,-0.044444444444444446,left
0.50532866,0.4590274,0.56288177,0.41382596,0.45731702,0.4114907,0.6298696,0.46038336,0.39432314,0.4554422,0.7780466,0.7630458,0.24044463,0.7545688,-0.011111111111111112,-0.011111111111111112,center
0.42415226,0.4633656,0.44938347,0.40466,0.36697686,0.46136397,0.55052173,0.41266453,0.33680725,0.541196,0.78328544,0.75060785,0.26547155,0.75218713,0.3888888888888889,0.0,right
0.5388333,0.45393458,0.593796,0.41470882,0.49008787,0.40760198,0.6515523,0.46897823,0.41563448,0.4505728,0.78271216,0.7690231,0.24970874,0.7477484,-0.044444444444444446,-0.022222222222222223,center
0.5840504,0.48252788,0.6473759,0.47371885,0.5589591,0.42020813,0.68353516,0.5520439,0.47283223,0.42808047,0.7724888,0.77194,0.24746618,0.742166,-0.35555555555555557,-0.03333333333333333,left
0.51261646,0.45345002,0.5666046,0.4127308,0.46251875,0.40847573,0.6319368,0.46121237,0.3965493,0.45797443,0.7805753,0.7639247,0.24191235,0.7553229,-0.03333333333333333,-0.011111111111111112,center
0.42515412,0.4524732,0.45624423,0.39416483,0.3703995,0.44589606,0.5570857,0.41295546,0.3389064,0.52933943,0.78144693,0.75705874,0.25757536,0.75007063,0.34444444444444444,-0.011111111111111112,right
0.5306647,0.44917285,0.5856379,0.40928334,0.48235354,0.40503418,0.64555776,0.46781623,0.4133519,0.45886248,0.79030037,0.76508886,0.25296235,0.7471919,-0.022222222222222223,-0.022222222222222223,center
0.5977499,0.46849722,0.6575091,0.4634547,0.57196116,0.40651017,0.68899935,0.5488051,0.47324026,0.426158,0.7838377,0.77069026,0.2503606,0.7370856,-0.37777777777777777,-0.044444444444444446,left
0.5172825,0.4495777,0.5707525,0.40616214,0.46609637,0.40601856,0.6359136,0.4613284,0.39995164,0.45767128,0.78081954,0.7645842,0.24532713,0.75705063,0.0,-0.011111111111111112,center
0.6527589,0.64329374,0.70812106,0.60860515,0.62653387,0.5753398,0.73672825,0.6013893,0.52534115,0.4866963,0.7596728,0.7712506,0.2613156,0.7387191,-0.24444444444444444,-0.044444444444444446,wrong-left-forward
0.40916216,0.62711114,0.4438911,0.5551318,0.3596239,0.5875003,0.5491386,0.49141207,0.34411559,0.5851847,0.80109924,0.75894743,0.2680489,0.7434271,0.23333333333333334,-0.022222222222222223,wrong-right-forward
0.42871386,0.5158229,0.45334914,0.44584128,0.37010396,0.50849324,0.54554355,0.43782538,0.3353817,0.5706455,0.78491753,0.7505445,0.27574366,0.67883164,0.4111111111111111,-0.08888888888888889,wrong-right-shoulder
0.42654297,0.5169149,0.45422935,0.4477995,0.36820433,0.5096938,0.5478737,0.4431501,0.3352933,0.5734177,0.7808939,0.7554338,0.2777679,0.67324674,0.4,-0.1,wrong-right-shoulder
0.55927163,0.49308744,0.6295483,0.47996888,0.5397616,0.42633227,0.67283124,0.546711,0.4629989,0.42330784,0.75699425,0.6926934,0.2625088,0.7246077,-0.35555555555555557,0.044444444444444446,wrong-left-shoulder
0.56512207,0.49336734,0.63342285,0.4788006,0.5440176,0.4261457,0.6747084,0.5485826,0.46262276,0.42519134,0.7579894,0.69068784,0.26408017,0.7259176,-0.34444444444444444,0.044444444444444446,wrong-left-shoulder
0.6685574,0.6387751,0.71800894,0.61956424,0.6470618,0.5621852,0.73757803,0.63801736,0.5395018,0.4759568,0.75521135,0.78033626,0.2616487,0.7427109,-0.43333333333333335,-0.044444444444444446,wrong-left-forward
